No ID;Brand;Adresse;Code Postal;Ville
1399649;U;ZI de la Haute Borne;28310;Toury
1361244;AVIA;Rue Du Vieux Chateau;21460;Toutry
1351325;TOTALENERGIES;A 77;58150;Tracy sur Loire
1300554;CARREFOUR;RD 1555 Zone Du Plan;83720;Trans En Provence
1302153;CARREFOUR;528-590 Route du Plan;83720;Trans-en- Provence
1303533;ESSO;1 Avenue Martin Luther King;78190;Trappes
1321232;TOTALENERGIES;RN 10;78190;Trappes
1399870;U;4 Boulevard Jean Guehenno;22220;Treguier
1302394;DIVERSE / OTHERS;Route des Estuaires;44119;Treillieres
1300097;U;Rue de Rennes;44119;Treillieres
1321714;TOTALENERGIES;RN 137;44119;Treillières
1302471;U;185 Av Pierre Mendes France;49800;Trelaze
1302220;E.LECLERC;Cc La Feuilleraie;24750;Trelissac
1398861;IDS;Restaurant Routier Le Relais 7;58240;Tresnay
1300241;CARREFOUR MARKET;ZA De La Burliere;13530;Trets
1300208;CARREFOUR MARKET;Route De Lyon Au Combard;01600;Trevoux
1311558;E.LECLERC;Rn 181;60590;Trie Château
1301371;AVIA;1 Route de Tarbes;65220;Trie sur Baise
1364040;AVIA;RN 771 Certé;44570;Trignac
1302106;AVIA;Aire de la Sentinelle Est;59125;Trith Saint Leger
1300185;U;Rte de Rouen;14670;Troarn
1399841;INTERMARCHE;19 Bis Rte De Reims;60350;Trosly Breuil
1303507;ESSO EXPRESS;210 Faubourg Croncels;10000;Troyes
1301630;CARREFOUR;3 Rue De La Mission;10000;Troyes
1306225;AGIP;A 87;49340;Trémentines
1300191;INTERMARCHE;Route d'Orange;26790;Tulette
1301250;INTERMARCHE;2 Quai Victor Continsouza;19000;Tulle
1311561;E.LECLERC;Place Du Foirail;19000;Tulle
1360637;AVIA;606 route de St Quentin - D45;38210;Tullins
1361181;AVIA;25 Av. Jean Marie Meunier;73400;Ugine
1360059;AVIA;Av. Jean Marie Meunier;73400;Ugine
1302161;CARREFOUR;10 Rue du Président Kennedy;42240;Unieux
1301361;E.LECLERC;Rd 810 Lieu dit Souhara;64122;Urrugne
1311014;E.LECLERC;Aire d'Acheres Est;77760;Ury
1398873;IDS;ZAC Logistique de la Gare;19270;Ussac
